TPC codegen census, configuration: tpcds-defaults-stats
commit:      a821cc2e8d1
java:        25.0.4.1
settings:    spark.sql.readSideCharPadding=true, statistics injected=true, spark.sql.codegen.hugeMethodLimit=65535, spark.sql.adaptive.enabled=false
under AQE:   the same walk with spark.sql.adaptive.enabled=true finds 0 stages in these queries
bands:       ok <= 8000 bytes < interpreted <= 65535 bytes < fallback

summary
  tpcds-v1.4      103 queries  1586 stages  ok 1586
  tpcds-v2.7       32 queries   794 stages  ok 794
  tpcds-mod        21 queries   175 stages  interpreted 1, ok 174; past 8000: q3

set	query	stage	bytes	constant pool	band	operators
tpcds-v1.4	q1	12	342	184	ok	Project < SortMergeJoin
tpcds-v1.4	q1	9	120	124	ok	Sort
tpcds-v1.4	q1	8	186	249	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < HashAggregate
tpcds-v1.4	q1	2	330	283	ok	HashAggregate < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q1	1	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q1	6	398	284	ok	Filter < HashAggregate
tpcds-v1.4	q1	5	273	288	ok	HashAggregate < HashAggregate
tpcds-v1.4	q1	4	275	283	ok	HashAggregate < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q1	7	327	161	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q1	11	120	124	ok	Sort
tpcds-v1.4	q1	10	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q2	9	120	124	ok	Sort
tpcds-v1.4	q2	8	357	281	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < HashAggregate
tpcds-v1.4	q2	2	369	336	ok	HashAggregate < Project < BroadcastHashJoin < Union < Project < ColumnarToRow < Project < ColumnarToRow
tpcds-v1.4	q2	1	416	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q2	1	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q2	7	357	281	ok	Project < BroadcastHashJoin < HashAggregate
tpcds-v1.4	q2	5	369	336	ok	HashAggregate < Project < BroadcastHashJoin < Union < Project < ColumnarToRow < Project < ColumnarToRow
tpcds-v1.4	q2	4	416	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q2	1	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q3	4	238	248	ok	HashAggregate
tpcds-v1.4	q3	3	244	290	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q3	1	352	142	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q3	1	472	171	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q4	53	1138	222	ok	Project < SortMergeJoin
tpcds-v1.4	q4	44	740	200	ok	Project < SortMergeJoin
tpcds-v1.4	q4	35	1188	225	ok	Project < SortMergeJoin
tpcds-v1.4	q4	26	715	200	ok	Project < SortMergeJoin
tpcds-v1.4	q4	17	600	200	ok	SortMergeJoin
tpcds-v1.4	q4	8	120	124	ok	Sort
tpcds-v1.4	q4	7	446	251	ok	Filter < HashAggregate
tpcds-v1.4	q4	6	690	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	3	120	124	ok	Sort
tpcds-v1.4	q4	2	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	1	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	5	120	124	ok	Sort
tpcds-v1.4	q4	4	1083	204	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q4	16	120	124	ok	Sort
tpcds-v1.4	q4	15	458	246	ok	HashAggregate
tpcds-v1.4	q4	14	690	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	11	120	124	ok	Sort
tpcds-v1.4	q4	10	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	1	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	13	120	124	ok	Sort
tpcds-v1.4	q4	25	120	124	ok	Sort
tpcds-v1.4	q4	24	446	251	ok	Filter < HashAggregate
tpcds-v1.4	q4	23	690	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	20	120	124	ok	Sort
tpcds-v1.4	q4	19	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	22	120	124	ok	Sort
tpcds-v1.4	q4	34	120	124	ok	Sort
tpcds-v1.4	q4	33	392	246	ok	HashAggregate
tpcds-v1.4	q4	32	690	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	29	120	124	ok	Sort
tpcds-v1.4	q4	28	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	31	120	124	ok	Sort
tpcds-v1.4	q4	43	120	124	ok	Sort
tpcds-v1.4	q4	42	446	251	ok	Filter < HashAggregate
tpcds-v1.4	q4	41	690	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	38	120	124	ok	Sort
tpcds-v1.4	q4	37	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	40	120	124	ok	Sort
tpcds-v1.4	q4	52	120	124	ok	Sort
tpcds-v1.4	q4	51	392	246	ok	HashAggregate
tpcds-v1.4	q4	50	690	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	47	120	124	ok	Sort
tpcds-v1.4	q4	46	215	142	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	49	120	124	ok	Sort
tpcds-v1.4	q5	20	496	255	ok	HashAggregate
tpcds-v1.4	q5	19	326	279	ok	HashAggregate < Expand
tpcds-v1.4	q5	4	537	280	ok	HashAggregate
tpcds-v1.4	q5	3	245	337	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Union < Project < Filter < ColumnarToRow < Project < Filter < ColumnarToRow
tpcds-v1.4	q5	1	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	2	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	8	537	280	ok	HashAggregate
tpcds-v1.4	q5	7	245	337	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Union < Project < Filter < ColumnarToRow < Project < Filter < ColumnarToRow
tpcds-v1.4	q5	6	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	18	537	280	ok	HashAggregate
tpcds-v1.4	q5	17	244	255	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin
tpcds-v1.4	q5	9	426	165	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	14	502	197	ok	Project < SortMergeJoin
tpcds-v1.4	q5	11	120	124	ok	Sort
tpcds-v1.4	q5	10	395	155	ok	ColumnarToRow
tpcds-v1.4	q5	13	120	124	ok	Sort
tpcds-v1.4	q5	12	348	142	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	16	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q6	14	156	224	ok	Filter < HashAggregate
tpcds-v1.4	q6	13	308	314	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < SortMergeJoin
tpcds-v1.4	q6	6	120	124	ok	Sort
tpcds-v1.4	q6	5	308	187	ok	Project < SortMergeJoin
tpcds-v1.4	q6	2	120	124	ok	Sort
tpcds-v1.4	q6	1	341	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q6	4	120	124	ok	Sort
tpcds-v1.4	q6	3	281	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q6	8	120	124	ok	Sort
tpcds-v1.4	q6	7	339	151	ok	Filter < ColumnarToRow
tpcds-v1.4	q6	1	288	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q6	2	244	242	ok	HashAggregate
tpcds-v1.4	q6	1	388	271	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q6	12	293	153	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q6	11	331	264	ok	Filter < HashAggregate
tpcds-v1.4	q6	10	430	362	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q7	9	852	278	ok	HashAggregate
tpcds-v1.4	q7	8	441	344	ok	HashAggregate < Project < BroadcastHashJoin < Project < SortMergeJoin
tpcds-v1.4	q7	4	120	124	ok	Sort
tpcds-v1.4	q7	3	325	142	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q7	1	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q7	2	540	171	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q7	6	120	124	ok	Sort
tpcds-v1.4	q7	5	554	167	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q7	7	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q8	18	174	240	ok	HashAggregate
tpcds-v1.4	q8	17	371	367	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q8	4	120	124	ok	Sort
tpcds-v1.4	q8	3	215	142	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q8	1	374	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q8	2	481	174	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q8	16	120	124	ok	Sort
tpcds-v1.4	q8	15	244	244	ok	HashAggregate
tpcds-v1.4	q8	14	495	321	ok	HashAggregate < SortMergeJoin
tpcds-v1.4	q8	6	120	124	ok	Sort
tpcds-v1.4	q8	5	452	177	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q8	13	120	124	ok	Sort
tpcds-v1.4	q8	12	157	225	ok	Project < Filter < HashAggregate
tpcds-v1.4	q8	11	342	339	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q8	8	120	124	ok	Sort
tpcds-v1.4	q8	7	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q8	10	120	124	ok	Sort
tpcds-v1.4	q8	9	327	161	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q9	1	1417	164	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q9	2	656	243	ok	Project < HashAggregate
tpcds-v1.4	q9	1	374	236	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q9	2	656	243	ok	Project < HashAggregate
tpcds-v1.4	q9	1	375	236	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q9	2	656	243	ok	Project < HashAggregate
tpcds-v1.4	q9	1	375	236	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q9	2	656	243	ok	Project < HashAggregate
tpcds-v1.4	q9	1	375	236	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q9	2	656	243	ok	Project < HashAggregate
tpcds-v1.4	q9	1	375	236	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q10	20	431	230	ok	HashAggregate
tpcds-v1.4	q10	19	511	343	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q10	16	120	124	ok	Sort
tpcds-v1.4	q10	15	357	172	ok	Project < BroadcastHashJoin < Project < Filter < SortMergeJoin
