TPC codegen census, configuration: tpcds-defaults
commit:      1917c854bae
java:        25.0.4.1
settings:    spark.sql.readSideCharPadding=true, statistics injected=false, spark.sql.codegen.hugeMethodLimit=65535, spark.sql.adaptive.enabled=false
under AQE:   the same walk with spark.sql.adaptive.enabled=true finds 0 stages in these queries
bands:       ok <= 8000 bytes < interpreted <= 65535 bytes < fallback

summary
  tpcds-v1.4      103 queries  1058 stages  ok 1058
  tpcds-v2.7       32 queries   497 stages  ok 497
  tpcds-mod        21 queries   132 stages  interpreted 1, ok 131; past 8000: q3

set	query	stage	broadcasts	bytes	constant pool	band	operators
tpcds-v1.4	q1	9	5	361	298	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < HashAggregate
tpcds-v1.4	q1	2	1	444	353	ok	HashAggregate < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q1	1	0	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q1	6	1	398	284	ok	Filter < HashAggregate
tpcds-v1.4	q1	5	1	273	288	ok	HashAggregate < HashAggregate
tpcds-v1.4	q1	4	1	425	353	ok	HashAggregate < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q1	7	0	327	161	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q1	8	0	342	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q2	9	4	120	124	ok	Sort
tpcds-v1.4	q2	8	4	1833	341	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < HashAggregate
tpcds-v1.4	q2	2	1	369	502	ok	HashAggregate < Project < BroadcastHashJoin < Union < Project < ColumnarToRow < Project < ColumnarToRow
tpcds-v1.4	q2	1	0	409	168	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q2	3	0	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q2	7	1	726	298	ok	Project < BroadcastHashJoin < HashAggregate
tpcds-v1.4	q2	6	0	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q3	4	2	238	248	ok	HashAggregate
tpcds-v1.4	q3	3	2	573	360	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q3	1	0	327	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q3	2	0	472	171	ok	Project < Filter < ColumnarToRow
