TPC codegen census, configuration: tpcds-nopadding-stats
commit:      1917c854bae
java:        25.0.4.1
settings:    spark.sql.readSideCharPadding=false, statistics injected=true, spark.sql.codegen.hugeMethodLimit=65535, spark.sql.adaptive.enabled=false
under AQE:   the same walk with spark.sql.adaptive.enabled=true finds 0 stages in these queries
bands:       ok <= 8000 bytes < interpreted <= 65535 bytes < fallback

summary
  tpcds-v1.4      103 queries  1586 stages  ok 1586
  tpcds-v2.7       32 queries   785 stages  ok 785
  tpcds-mod        21 queries   175 stages  interpreted 1, ok 174; past 8000: q3

set	query	stage	broadcasts	bytes	constant pool	band	operators
tpcds-v1.4	q1	12	4	308	184	ok	Project < SortMergeJoin
tpcds-v1.4	q1	9	4	120	124	ok	Sort
tpcds-v1.4	q1	8	4	402	282	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < HashAggregate
tpcds-v1.4	q1	2	1	444	353	ok	HashAggregate < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q1	1	0	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q1	6	1	398	284	ok	Filter < HashAggregate
tpcds-v1.4	q1	5	1	273	288	ok	HashAggregate < HashAggregate
tpcds-v1.4	q1	4	1	425	353	ok	HashAggregate < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q1	7	0	316	151	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q1	11	0	120	124	ok	Sort
tpcds-v1.4	q1	10	0	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q2	9	5	120	124	ok	Sort
tpcds-v1.4	q2	8	5	1833	341	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < HashAggregate
tpcds-v1.4	q2	2	1	369	506	ok	HashAggregate < Project < BroadcastHashJoin < Union < Project < ColumnarToRow < Project < ColumnarToRow
tpcds-v1.4	q2	1	0	346	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q2	1	0	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q2	7	2	726	298	ok	Project < BroadcastHashJoin < HashAggregate
tpcds-v1.4	q2	5	1	369	506	ok	HashAggregate < Project < BroadcastHashJoin < Union < Project < ColumnarToRow < Project < ColumnarToRow
tpcds-v1.4	q2	4	0	346	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q2	1	0	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q3	4	2	238	248	ok	HashAggregate
tpcds-v1.4	q3	3	2	526	371	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q3	1	0	352	142	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q3	1	0	402	153	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q4	53	6	1140	226	ok	Project < SortMergeJoin
tpcds-v1.4	q4	44	5	740	204	ok	Project < SortMergeJoin
tpcds-v1.4	q4	35	4	1190	229	ok	Project < SortMergeJoin
tpcds-v1.4	q4	26	3	715	204	ok	Project < SortMergeJoin
tpcds-v1.4	q4	17	2	600	204	ok	SortMergeJoin
tpcds-v1.4	q4	8	1	120	124	ok	Sort
tpcds-v1.4	q4	7	1	446	251	ok	Filter < HashAggregate
tpcds-v1.4	q4	6	1	670	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	3	1	120	124	ok	Sort
tpcds-v1.4	q4	2	1	559	184	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	1	0	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	5	0	120	124	ok	Sort
tpcds-v1.4	q4	4	0	590	153	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	16	1	120	124	ok	Sort
tpcds-v1.4	q4	15	1	458	246	ok	HashAggregate
tpcds-v1.4	q4	14	1	670	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	11	1	120	124	ok	Sort
tpcds-v1.4	q4	10	1	559	184	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	1	0	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	13	0	120	124	ok	Sort
tpcds-v1.4	q4	25	1	120	124	ok	Sort
tpcds-v1.4	q4	24	1	446	251	ok	Filter < HashAggregate
tpcds-v1.4	q4	23	1	670	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	20	1	120	124	ok	Sort
tpcds-v1.4	q4	19	1	559	184	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	22	0	120	124	ok	Sort
tpcds-v1.4	q4	34	1	120	124	ok	Sort
tpcds-v1.4	q4	33	1	392	246	ok	HashAggregate
tpcds-v1.4	q4	32	1	670	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	29	1	120	124	ok	Sort
tpcds-v1.4	q4	28	1	559	184	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	31	0	120	124	ok	Sort
tpcds-v1.4	q4	43	1	120	124	ok	Sort
tpcds-v1.4	q4	42	1	446	251	ok	Filter < HashAggregate
tpcds-v1.4	q4	41	1	670	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	38	1	120	124	ok	Sort
tpcds-v1.4	q4	37	1	559	184	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	40	0	120	124	ok	Sort
tpcds-v1.4	q4	52	1	120	124	ok	Sort
tpcds-v1.4	q4	51	1	392	246	ok	HashAggregate
tpcds-v1.4	q4	50	1	670	335	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q4	47	1	120	124	ok	Sort
tpcds-v1.4	q4	46	1	559	184	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	49	0	120	124	ok	Sort
tpcds-v1.4	q5	20	6	496	255	ok	HashAggregate
tpcds-v1.4	q5	19	6	326	280	ok	HashAggregate < Expand
tpcds-v1.4	q5	4	2	537	280	ok	HashAggregate
tpcds-v1.4	q5	3	2	474	465	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Union < Project < Filter < ColumnarToRow < Project < Filter < ColumnarToRow
tpcds-v1.4	q5	1	0	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	2	0	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q5	8	2	537	280	ok	HashAggregate
tpcds-v1.4	q5	7	2	474	465	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Union < Project < Filter < ColumnarToRow < Project < Filter < ColumnarToRow
tpcds-v1.4	q5	6	0	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q5	18	2	537	280	ok	HashAggregate
tpcds-v1.4	q5	17	2	444	351	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin
tpcds-v1.4	q5	9	0	426	165	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	14	0	502	197	ok	Project < SortMergeJoin
tpcds-v1.4	q5	11	0	120	124	ok	Sort
tpcds-v1.4	q5	10	0	395	155	ok	ColumnarToRow
tpcds-v1.4	q5	13	0	120	124	ok	Sort
tpcds-v1.4	q5	12	0	348	142	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	16	0	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q6	19	3	156	224	ok	Filter < HashAggregate
tpcds-v1.4	q6	18	3	342	339	ok	HashAggregate < Project < SortMergeJoin
tpcds-v1.4	q6	11	1	120	124	ok	Sort
tpcds-v1.4	q6	10	1	342	187	ok	Project < SortMergeJoin
tpcds-v1.4	q6	6	0	120	124	ok	Sort
tpcds-v1.4	q6	5	0	274	187	ok	Project < SortMergeJoin
tpcds-v1.4	q6	2	0	120	124	ok	Sort
tpcds-v1.4	q6	1	0	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q6	4	0	120	124	ok	Sort
tpcds-v1.4	q6	3	0	281	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q6	9	1	120	124	ok	Sort
tpcds-v1.4	q6	8	1	377	168	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q6	1	0	288	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q6	2	0	244	242	ok	HashAggregate
tpcds-v1.4	q6	1	0	388	271	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q6	17	2	120	124	ok	Sort
tpcds-v1.4	q6	16	2	522	207	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q6	15	1	331	264	ok	Filter < HashAggregate
tpcds-v1.4	q6	14	1	418	377	ok	HashAggregate < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q6	13	0	244	244	ok	HashAggregate
