TPC codegen census, configuration: tpcds-nopadding
commit:      a821cc2e8d1
java:        25.0.4.1
settings:    spark.sql.readSideCharPadding=false, statistics injected=false, spark.sql.codegen.hugeMethodLimit=65535, spark.sql.adaptive.enabled=false
under AQE:   the same walk with spark.sql.adaptive.enabled=true finds 0 stages in these queries
bands:       ok <= 8000 bytes < interpreted <= 65535 bytes < fallback

summary
  tpcds-v1.4      103 queries  1064 stages  ok 1064
  tpcds-v2.7       32 queries   498 stages  ok 498
  tpcds-mod        21 queries   132 stages  interpreted 1, ok 131; past 8000: q3

set	query	stage	bytes	constant pool	band	operators
tpcds-v1.4	q1	9	186	249	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < HashAggregate
tpcds-v1.4	q1	2	330	283	ok	HashAggregate < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q1	1	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q1	6	398	284	ok	Filter < HashAggregate
tpcds-v1.4	q1	5	273	288	ok	HashAggregate < HashAggregate
tpcds-v1.4	q1	4	275	283	ok	HashAggregate < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q1	7	316	151	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q1	8	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q2	9	120	124	ok	Sort
tpcds-v1.4	q2	8	357	281	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < HashAggregate
tpcds-v1.4	q2	2	369	336	ok	HashAggregate < Project < BroadcastHashJoin < Union < Project < ColumnarToRow < Project < ColumnarToRow
tpcds-v1.4	q2	1	339	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q2	3	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q2	7	357	281	ok	Project < BroadcastHashJoin < HashAggregate
tpcds-v1.4	q2	6	295	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q3	4	238	248	ok	HashAggregate
tpcds-v1.4	q3	3	320	283	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q3	1	327	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q3	2	402	153	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q4	24	392	261	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < BroadcastHashJoin < Filter < HashAggregate
tpcds-v1.4	q4	3	412	248	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	1	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	1	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	7	458	246	ok	HashAggregate
tpcds-v1.4	q4	6	412	248	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	4	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	1	307	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	11	446	251	ok	Filter < HashAggregate
tpcds-v1.4	q4	10	412	248	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	8	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	15	392	246	ok	HashAggregate
tpcds-v1.4	q4	14	412	248	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	12	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	19	446	251	ok	Filter < HashAggregate
tpcds-v1.4	q4	18	412	248	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	16	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q4	23	392	246	ok	HashAggregate
tpcds-v1.4	q4	22	412	248	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q4	20	492	162	ok	Filter < ColumnarToRow
tpcds-v1.4	q5	15	496	255	ok	HashAggregate
tpcds-v1.4	q5	14	326	279	ok	HashAggregate < Expand
tpcds-v1.4	q5	4	537	280	ok	HashAggregate
tpcds-v1.4	q5	3	245	337	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Union < Project < Filter < ColumnarToRow < Project < Filter < ColumnarToRow
tpcds-v1.4	q5	1	341	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q5	2	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q5	8	537	280	ok	HashAggregate
tpcds-v1.4	q5	7	245	337	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Union < Project < Filter < ColumnarToRow < Project < Filter < ColumnarToRow
tpcds-v1.4	q5	6	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q5	13	537	280	ok	HashAggregate
tpcds-v1.4	q5	12	278	337	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Union < Project < Filter < ColumnarToRow < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpcds-v1.4	q5	9	395	155	ok	ColumnarToRow
tpcds-v1.4	q5	11	272	150	ok	Filter < ColumnarToRow
tpcds-v1.4	q6	9	156	224	ok	Filter < HashAggregate
tpcds-v1.4	q6	8	244	278	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q6	1	281	135	ok	Filter < ColumnarToRow
tpcds-v1.4	q6	2	339	151	ok	Filter < ColumnarToRow
tpcds-v1.4	q6	1	288	135	ok	Project < Filter < ColumnarToRow
tpcds-v1.4	q6	2	244	242	ok	HashAggregate
tpcds-v1.4	q6	1	388	271	ok	HashAggregate < Project < Filter < ColumnarToRow
tpcds-v1.4	q6	7	273	147	ok	Project < BroadcastHashJoin < Filter < ColumnarToRow
tpcds-v1.4	q6	6	331	326	ok	Filter < HashAggregate < Project < BroadcastHashJoin < HashAggregate
tpcds-v1.4	q6	4	246	279	ok	HashAggregate < Filter < ColumnarToRow
tpcds-v1.4	q6	5	278	153	ok	Filter < ColumnarToRow
tpcds-v1.4	q7	6	852	278	ok	HashAggregate
