TPC codegen census, configuration: tpch
commit:      1917c854bae
java:        25.0.4.1
settings:    spark.sql.readSideCharPadding=true, statistics injected=false, spark.sql.codegen.hugeMethodLimit=65535, spark.sql.adaptive.enabled=false
under AQE:   the same walk with spark.sql.adaptive.enabled=true finds 0 stages in these queries
bands:       ok <= 8000 bytes < interpreted <= 65535 bytes < fallback

summary
  tpch             22 queries   126 stages  ok 126

set	query	stage	broadcasts	bytes	constant pool	band	operators
tpch	q1	3	0	120	124	ok	Sort
tpch	q1	2	0	1280	318	ok	HashAggregate
tpch	q1	1	0	646	426	ok	HashAggregate < Project < Filter < ColumnarToRow
tpch	q2	10	8	957	230	ok	Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpch	q2	1	0	358	149	ok	Filter < ColumnarToRow
tpch	q2	6	3	244	224	ok	Filter < HashAggregate
tpch	q2	5	3	466	339	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpch	q2	2	0	285	138	ok	Filter < ColumnarToRow
tpch	q2	3	0	285	138	ok	Filter < ColumnarToRow
tpch	q2	4	0	298	150	ok	Project < Filter < ColumnarToRow
tpch	q2	7	0	548	162	ok	Filter < ColumnarToRow
tpch	q2	8	0	343	153	ok	Filter < ColumnarToRow
tpch	q3	4	2	280	246	ok	HashAggregate
tpch	q3	3	2	320	346	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpch	q3	1	0	436	151	ok	Filter < ColumnarToRow
tpch	q3	2	0	416	157	ok	Project < Filter < ColumnarToRow
tpch	q4	4	1	120	124	ok	Sort
tpch	q4	3	1	156	222	ok	HashAggregate
tpch	q4	2	1	435	333	ok	HashAggregate < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpch	q4	1	0	342	145	ok	Project < Filter < ColumnarToRow
tpch	q5	8	5	120	124	ok	Sort
tpch	q5	7	5	225	238	ok	HashAggregate
tpch	q5	6	5	678	353	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpch	q5	1	0	412	142	ok	Project < Filter < ColumnarToRow
tpch	q5	2	0	404	153	ok	Filter < ColumnarToRow
tpch	q5	3	0	285	138	ok	Filter < ColumnarToRow
tpch	q5	4	0	343	153	ok	Filter < ColumnarToRow
tpch	q5	5	0	298	150	ok	Project < Filter < ColumnarToRow
tpch	q6	2	0	195	162	ok	HashAggregate
tpch	q6	1	0	170	174	ok	HashAggregate < LocalTableScan
tpch	q7	8	5	120	124	ok	Sort
tpch	q7	7	5	278	246	ok	HashAggregate
tpch	q7	6	5	988	351	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Filter < ColumnarToRow
tpch	q7	1	0	543	159	ok	Filter < ColumnarToRow
tpch	q7	2	0	285	138	ok	Filter < ColumnarToRow
tpch	q7	3	0	285	138	ok	Filter < ColumnarToRow
tpch	q7	4	0	392	157	ok	Filter < ColumnarToRow
tpch	q8	10	7	120	124	ok	Sort
tpch	q8	9	7	394	258	ok	HashAggregate
tpch	q8	8	7	503	368	ok	HashAggregate < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < BroadcastHashJoin < Project < Filter < ColumnarToRow
tpch	q8	1	0	473	153	ok	Filter < ColumnarToRow
tpch	q8	2	0	285	138	ok	Filter < ColumnarToRow
tpch	q8	3	0	424	144	ok	Filter < ColumnarToRow
tpch	q8	4	0	285	138	ok	Filter < ColumnarToRow
tpch	q8	5	0	285	138	ok	Filter < ColumnarToRow
tpch	q8	6	0	274	153	ok	Filter < ColumnarToRow
tpch	q8	7	0	298	150	ok	Project < Filter < ColumnarToRow
tpch	q9	8	5	120	124	ok	Sort
tpch	q9	7	5	241	246	ok	HashAggregate
